,School,Pre1,Post1,Pre2,Post2,Longitude,Latitude,Stage
1,Chances for Children: Ecole Mixte Lumiere de Hatte-Chevreau,36%,87%,NA,NA,-72.5186164,19.2622776,1
2,Chances for Children: Kenscoff,24%,96%,NA,NA,-72.2896174,18.4530293,1
3,Helping Haitians Angels: Harvey School,50%,87%,NA,NA,-72.126641,19.6682343,1
4,Hope For Haiti: Cammy,40%,94%,29%,87%,-73.6527568,18.3141326,2
5,Hope For Haiti: Cammy,40%,94%,29%,87%,-73.6621981,18.3131548,2
6,Hope For Haiti-Faucault,40%,94%,29%,87%,-73.644002,18.3125029,2
7,Hope For Haiti-Formateurs de Tete Sources,40%,94%,29%,87%,-73.6724247,18.3062826,2
8,Hope For Haiti-Jn Paul II des Baraderes,40%,94%,29%,87%,-73.6676943,18.4746315,2
9,Hope For Haiti-Le Phare de la Savanne,40%,94%,29%,87%,-73.6717381,18.2997636,2
10,Hope For Haiti-Marre-a-Coiffe,40%,94%,29%,87%,-73.6609515,18.2971892,2
11,Hope For Haiti-Michel de Zanglais,40%,94%,29%,87%,-73.4253751,18.2657919,2
12,Hope For Haiti-Mont Carmel de Ricot,40%,94%,29%,87%,-73.011132,18.1926516,2
13,Hope for Haiti-Morency,40%,94%,29%,87%,-73.6984238,18.236792,2
14,Hope For Haiti-Paul VI,40%,94%,29%,87%,-73.3437818,18.2987925,2
15,Hope For Haiti-Pelagie,40%,94%,29%,87%,-73.0028923,18.1926516,2
16,Hope For Haiti-Ravine Sable,40%,94%,29%,87%,-73.6490788,18.2991116,2
17,Hope For Haiti-Roger Dunwell de Tete Letang,40%,94%,29%,87%,-73.6579588,18.3017193,2
18,Hope For Haiti-Sacre-Coeur de Platon,40%,94%,29%,87%,-72.9939659,18.1913469,2
19,Hope For Haiti-Saint Jude de Pereno,40%,94%,29%,87%,-73.0276115,18.204393,2
20,Hope For Haiti-Sainte Anne de Boisrond,40%,94%,29%,87%,-73.3963498,18.2803304,2
21,Hope For Haiti-Sainte Antoine de Abbee,40%,94%,29%,87%,-73.0097587,18.199827,2
22,Hope For Haiti-Sainte de Lima de Gris-Gris,40%,94%,29%,87%,-73.0181276,18.1894702,2
23,Hope For Haiti-Ste Catherine de Lievre,40%,94%,29%,87%,-73.4295744,18.3915173,2
24,Ecole Eben-Ezer de Dondon,42%,93%,NA,NA,-72.2573244,19.5279904,1
25,Ecole Nationale Massilon Coicou,NA,NA,NA,NA,-72.2561839,19.5360337,1
26,CEFCAP,41%,88%,NA,NA,-72.1943899,19.7392519,1
27,Ecole Filadelphie,NA,NA,NA,NA,-72.2391907,19.5276511,1
28,Ecole Maranatha de Laby,35%,94%,NA,NA,-72.014798,19.1411564,1
29,Ecole Saint Martin,NA,NA,NA,NA,-72.2288911,19.5308868,1
30,ECOPAR,NA,NA,NA,NA,-72.1843906,19.7365455,1
31,Lutherienne de Dondon,42%,93%,NA,NA,-72.2428163,19.526777,1
32,Nouveau Millenaire,NA,NA,NA,NA,-72.1849485,19.7365859,1
33,Top Ecole Haiti,NA,NA,NA,NA,-72.1849485,19.7360608,1
34,Ecole Eben-Ezer de Bassin Caiman,NA,NA,NA,NA,-72.2398774,19.5360638,1
35,Ecole Nationale Duvaquee,NA,NA,NA,NA,-72.2441896,19.5279095,1
36,Ecole Baptiste Salem de Dondon,42%,93%,NA,NA,-72.2568706,19.5334452,1
37,Nouvelle Generation de Dondon,42%,93%,NA,NA,-72.2508637,19.5347695,1
38,Joseph School,59%,96%,NA,NA,-72.4166261,18.739163,1
39,Live Different-Ecole Jouissant Calvaire,49%,90%,25%,84%,-72.3287355,19.7006864,2
40,Mission Of Hope-Bercy,42%,83%,NA,NA,-72.3215231,18.7560933,1
41,Mission Of Hope-Leveque Deaf,42%,83%,NA,NA,-72.325643,18.7118752,1
42,Mission Of Hope-Leveque,42%,83%,NA,NA,-72.344869,18.7430892,1
43,Mission Of Hope-Titanyen,42%,83%,NA,NA,-72.3477985,18.7098682,1
44,OEDP-Ecole Jacques Vital-Herne,47%,94%,NA,NA,-72.6323565,18.5134941,1
45,RTS Missions-Colora,55%,99%,32%,97%,-71.9391879,18.8275278,2
46,RTS Missions-Juampas,55%,99%,32%,97%,-71.9257928,18.8333769,2
47,Sonje Ayiti-Ecole Communautaire Espoir de Cima,51%,91%,NA,NA,-72.126641,19.6682343,1
48,TRESOR-Ecole Espoir des Jeunes,48%,98%,35%,94%,-72.5132136,18.2458805,2
49,Virginia Haiti Collective-Ecole Saint Marc,36%,93%,27%,92%,-71.7803166,19.2040936,2
50,Acul-du-Nord,NA,NA,NA,NA,-72.317793,19.6808413,1
51,Anse-Rouge,NA,NA,NA,NA,-73.0538097,19.6356293,1
52,Corail,NA,NA,NA,NA,-72.3814273,19.7691311,1
53,Ecole Evangelique Lutherienne de Dondon,42%,93%,NA,NA,-72.2398774,19.5360638,1
54,Ecole Nationale Bassin Caiman,NA,NA,NA,NA,-72.2398774,19.5360638,1
55,Ecole Nationale Duvaquee,NA,NA,NA,NA,-72.2508637,19.5347695,1
56,Hope For Haiti,40%,94%,NA,NA,-73.404146,18.2724141,1
57,Milot,NA,NA,NA,NA,-72.2134308,19.6092712,1
58,Pignon,NA,NA,NA,NA,-72.1164358,19.3362853,1
59,Pilate,NA,NA,NA,NA,-72.5485808,19.6666561,1
60,Plaisance,NA,NA,NA,NA,-72.4716737,19.5986436,1